storename	オーケー国分寺店
datetime	2022年02月20日11:27
itemname	FSテッパンメンオコノミヤキヤキソバ¥149
itemprice	149
itemname	FIムエンセキハーベーコン3パック¥169
itemprice	169
itemname	FホリカワイEEチマキ6¥137
itemprice	137
itemname	FIムエンセキロースハム3パック
itemprice	169
itemname	Fヒハラナマイモコンニャク270g
itemprice	125
itemname	FキリシマトリテバモトNT」¥371
itemprice	371
itemname	FキリシマトリテバモトNT」¥380
itemprice	380
itemname	Fカネセイウズラテン4コ
itemprice	137
itemname	Fタカトーチクワブ1ポン
itemprice	99
itemname	Fムカシナガラノモチイリキンチャク
itemprice	204
itemname	Fエスフーズギュウスジ110g¥229
itemprice	229
itemname	Fキブンウオカシアゲーゴモク
itemprice	168
itemname	FBestChoiceフルーツラムネ
itemprice	79
itemname	Fシットリチョコロール2コ
itemprice	160
itemname	Fキプンタケブ5ポン
itemprice	165
itemprice	148
itemname	Fアベセイカラムネノヤマ
itemprice	95
itemname	Fハウストクセンナマニンニク429
itemprice	188
itemname	Fハウストクセンナマショウが40g
itemprice	188
itemname	Fヤツガタケンラクノウ1000ml
itemprice	161
itemname	Fイセアカトリノウマミサンラン10コ¥218
itemprice	218
itemname	Fブルボントリュフミルクガナッシュ
itemprice	199
itemprice	3938
itemname	F食料品3/103割引
discount	-94
itemprice	3844
itemname	F食料品8%
itemprice	3696
itemprice	148
total_price	合計24点
itemprice	4153
