storename	オーケー国分寺店店
datetime	2022年02月19日17:20
itemname	Fコイノミトマト¥258
itemprice	258
itemname	Fニッシンラオウショウ15P¥298
itemprice	298
itemname	Fオハヨーチョコプリン68g*4¥153
itemprice	153
itemname	Fキレテルホッカイドウバター100g¥238
itemprice	238
itemname	FKMシボリタテナマショウ1620ml
itemprice	328
itemname	Fリョクトウモヤシ250g
itemprice	28
itemname	Fキャンベルコーンポタージュ305g
itemprice	143
itemname	Fユキジルシピザソース200g
itemprice	174
itemname	FIムエンセキカワナシウィンナー¥279
itemprice	279
itemname	Fネスレキットカットミニ14マイ
itemprice	199
itemname	Fパスコチョウジュクライムギ3マイ
itemprice	94
itemname	Fアンバターフランス2コ
itemprice	150
itemname	Fハナバタケフレッシュモッツァレラ¥219
itemprice	219
itemprice	2561
itemname	F食料品3/103割引
discount	-68
itemprice	2493
itemname	F食料品8%
total_price	合計13点
itemprice	2692
itemprice	10000
