storename	オーケー成城店
datetime	2022年02月19日12:05
itemname	Fオカメナットウウマアジヒキワリ¥81
itemprice	81
itemname	Fオレアイダシューストリング450g
itemprice	199
itemname	Fタイヨウカンコクサンカットワカメ100¥398
itemprice	398
itemname	Fニンジンフクロ¥98
itemprice	98
itemname	Fピーマン¥158
itemprice	158
itemname	Fコクサンワカドリチキンスペアリブ¥195
itemprice	195
itemname	Fコクサンワカドリチキンスペアリブ¥367
itemprice	367
itemname	Fコクサンブタカクギリ¥291
itemprice	291
itemname	Fハウスミジンギリナマニンニク175g¥239
itemprice	239
itemname	Fハウスオロシナマワサビ175g
itemprice	239
itemname	FS&Bカレーコ37g¥264
itemprice	264
itemname	Fアジノモトコンソメ21コ¥203
itemprice	203
itemname	FS&Bナマフウミタラコ2P¥139
itemprice	139
itemname	Fギンサケアマクチヨウショクコンプダ¥451
itemprice	451
itemprice	3322
itemname	F食料品8%¥3.322税265
total_price	合計14点¥3,587
itemprice	3587
itemprice	3587
